geo,position,title,startedAt,searchVolume,growthPercent
US,1,giants vs dodgers,2026-09-19T01:20:00.000Z,100000,1000
US,2,portland st vs oregon,2026-09-19T01:30:00.000Z,50000,1000
US,3,fever vs tempo,2026-09-18T22:30:00.000Z,100000,1000
US,4,greenland,2026-09-18T21:30:00.000Z,100000,1000
US,5,miami fl vs wake forest,2026-09-18T22:40:00.000Z,200000,1000
US,6,yankees vs diamondbacks,2026-09-19T00:40:00.000Z,50000,1000
US,7,houston vs texas tech,2026-09-18T21:40:00.000Z,200000,1000
US,8,amazon settlement,2026-09-18T13:50:00.000Z,50000,900
US,9,brewers vs orioles,2026-09-18T22:10:00.000Z,50000,1000
US,10,juárez - tigres,2026-09-19T02:20:00.000Z,20000,1000
US,11,carrot top,2026-09-19T03:20:00.000Z,10000,1000
US,12,braves vs astros,2026-09-18T23:10:00.000Z,50000,1000
US,13,cubs vs reds,2026-09-18T21:50:00.000Z,50000,1000
US,14,frankie muniz,2026-09-18T15:30:00.000Z,20000,500
US,15,best of the best netflix,2026-09-18T17:50:00.000Z,20000,200
US,16,liberty vs lynx,2026-09-18T22:30:00.000Z,20000,1000
US,17,red sox vs rays,2026-09-18T22:20:00.000Z,20000,1000
US,18,mariners vs rockies,2026-09-18T23:20:00.000Z,20000,1000
US,19,barely breathing,2026-09-18T14:40:00.000Z,50000,600
US,20,juarez vs tigres uanl,2026-09-19T02:20:00.000Z,10000,1000
GB,1,brentford vs chelsea,2026-09-18T15:50:00.000Z,200000,1000
GB,2,stephanie cole,2026-09-18T14:30:00.000Z,100000,1000
GB,3,britain war,2026-09-18T11:40:00.000Z,20000,1000
GB,4,david walliams,2026-09-18T09:50:00.000Z,20000,1000
GB,5,prince harry return uk interview,2026-09-18T14:10:00.000Z,20000,1000
GB,6,thomas tuchel,2026-09-18T13:00:00.000Z,20000,1000
GB,7,philip foster,2026-09-18T13:20:00.000Z,10000,800
GB,8,bayern munich vs union berlin standings,2026-09-18T20:30:00.000Z,20000,1000
GB,9,art,2026-09-18T09:20:00.000Z,5000,400
GB,10,greenland,2026-09-18T21:40:00.000Z,2000,1000
GB,11,athlos,2026-09-18T16:50:00.000Z,10000,500
GB,12,brooklyn beckham,2026-09-18T19:00:00.000Z,5000,1000
GB,13,duncan sheik,2026-09-18T14:30:00.000Z,5000,600
GB,14,iphone iphone 18 pro max,2026-09-18T13:50:00.000Z,5000,400
GB,15,christmas bow decorating trend,2026-09-18T17:00:00.000Z,2000,400
GB,16,vs127,2026-09-18T16:20:00.000Z,10000,1000
GB,17,millwall vs west ham,2026-09-18T07:00:00.000Z,5000,100
GB,18,freeview,2026-09-18T16:00:00.000Z,5000,1000
GB,19,gary caldwell,2026-09-18T15:20:00.000Z,2000,300
GB,20,jim ratcliffe,2026-09-19T00:40:00.000Z,500,600
DE,1,bayern – union berlin,2026-09-18T17:40:00.000Z,500000,1000
DE,2,super el niño,2026-09-18T09:10:00.000Z,50000,1000
DE,3,wörth am rhein,2026-09-18T14:40:00.000Z,20000,1000
DE,4,ard,2026-09-18T16:20:00.000Z,100000,1000
DE,5,eberswalde,2026-09-18T10:50:00.000Z,20000,1000
DE,6,güterzug,2026-09-18T13:40:00.000Z,20000,1000
DE,7,erdrutsch,2026-09-18T06:50:00.000Z,20000,1000
DE,8,generalsekretär der vereinten nationen,2026-09-18T06:50:00.000Z,20000,1000
DE,9,kölner treff,2026-09-18T13:40:00.000Z,20000,1000
DE,10,spritpreisdeckel,2026-09-18T17:50:00.000Z,10000,1000
